"","Outlet","Frequency","code","node"
"1","fox",650,2,"fox"
"2","cnn",642,-1,"cnn"
"3","nyt",318,-1,"nyt"
"4","abc",306,0,"abc"
"5","local_tv",292,0,"local_tv"
"6","nbc",246,-1,"nbc"
"7","cbs",206,0,"cbs"
"8","msnbc",186,-2,"msnbc"
"9","local_paper",179,0,"local_paper"
"10","aggregator",170,0,"aggregator"
"11","social_media",159,0,"social_media"
"12","yahoo",130,0,"yahoo"
"13","bbc",110,0,"bbc"
"14","wapo",106,-1,"wapo"
"15","int_media",56,-0.35,"int_media"
"16","wsj",49,0,"wsj"
"17","npr",43,0,"npr"
"18","usa_today",42,-1,"usa_today"
"19","news_mag",41,-0.53,"news_mag"
"20","huffpo",40,-1,"huffpo"
"21","buzzfeed",39,-1,"buzzfeed"
"22","msn",34,0,"msn"
"23","pbs",32,-1,"pbs"
"24","cnbc",31,0,"cnbc"
"25","oan",21,2,"oan"
"26","latimes",21,-1,"latimes"
"27","news_wire",20,0,"news_wire"
"28","local_web",19,-0.08,"local_web"
"29","nypost",19,1,"nypost"
"30","politico",16,-1,"politico"
"31","newsmax",16,2,"newsmax"
"32","local_radio",14,0,"local_radio"
"33","breitbart",14,2,"breitbart"
"34","chicagotribune",12,0,"chicagotribune"
"35","univision",11,0,"univision"
"36","bloomberg",7,0,"neutral_sphere"
"37","hill",7,0,"neutral_sphere"
"38","smart",5,0,"neutral_sphere"
"39","drudge",4,1,"right_sphere"
"40","epochtimes",3,2,"right_sphere"
"41","washingtontimes",3,2,"right_sphere"
"42","cbn",3,2,"right_sphere"
"43","judicialwatch",3,3,"right_sphere"
"44","cspan",2,0,"neutral_sphere"
"45","ny1",2,0,"neutral_sphere"
"46","newsday",2,0,"neutral_sphere"
"47","rush",2,2,"right_sphere"
"48","infowars",2,3,"right_sphere"
"49","dailywire",2,2,"right_sphere"
"50","skim",2,-1,"left_sphere"
"51","cnet",2,0,"neutral_sphere"
"52","vox",2,-1,"left_sphere"
"53","dailycaller",1,2,"right_sphere"
"54","dailykos",1,-2,"left_sphere"
"55","root",1,-2,"left_sphere"
"56","podcasts",1,0,"neutral_sphere"
"57","afa",1,-3,"left_sphere"
"58","motherjones",1,-2,"left_sphere"
"59","newser",1,0,"neutral_sphere"
"60","dailypnut",1,0,"neutral_sphere"
"61","propublica",1,-1,"left_sphere"
"62","talkradio",1,2,"right_sphere"
"63","daverubenpodcast",1,1,"right_sphere"
"64","slate",1,-2,"left_sphere"
"65","bongireport",1,2,"right_sphere"
"66","redstate",1,2,"right_sphere"
"67","libertydaily",1,3,"right_sphere"
"68","blaze",1,2,"right_sphere"
"69","realclearpolitics",1,1,"right_sphere"
"70","fark",1,0,"neutral_sphere"
"71","newsy",1,0,"neutral_sphere"
"72","occupieddemocrats",1,-2,"left_sphere"
"73","firstamerican",1,0,"neutral_sphere"
"74","crookedmedia",1,-2,"left_sphere"
"75","whitehouse.gov",1,0,"neutral_sphere"
"76","congress.gov",1,0,"neutral_sphere"
"77","vice",1,-1,"left_sphere"
"78","timesofamerica",1,3,"right_sphere"
"79","rawstory",1,-2,"left_sphere"
"80","zerohedge",1,1,"right_sphere"
"81","wnd",1,3,"right_sphere"
"82","billoreilly",1,2,"right_sphere"
"83","axios",1,-1,"left_sphere"
"84","federalist",1,2,"right_sphere"
"85","bet",1,-1,"left_sphere"
"86","babalyonbee",1,2,"right_sphere"
"87","newsbuz",1,3,"right_sphere"
"88","bulwark",1,-1,"left_sphere"
"89","jewishworldreview",1,2,"right_sphere"
"90","townhall",1,-2,"left_sphere"
"91","rsbn",1,2,"right_sphere"
"92","cdc",1,0,"neutral_sphere"
"93","examiner",1,2,"right_sphere"
"94","dailybeast",1,-2,"left_sphere"
"95","yournation",1,3,"right_sphere"
"96","truthisscary",1,3,"right_sphere"
"97","redpilltv",1,3,"right_sphere"
"98","newsnet",1,0,"neutral_sphere"
"99","webmd",1,0,"neutral_sphere"
"100","citizenfreepress",1,2,"right_sphere"
"101","danbongi",1,3,"right_sphere"
"102","wendybell",1,2,"right_sphere"
