feature,node
dailymail,int_media
nikkei,int_media
eltiempo,int_media
chinatimes,int_media
independent,int_media
ltn.tw,int_media
japantoday,int_media
hindu,int_media
indianexpress,int_media
leparisien,int_media
peoplesdaily,int_media
sunu,int_media
telemundo,int_media
economist,int_media
chinatimes,int_media
dailymail,int_media
eltiempo,int_media
hindu,int_media
independent,int_media
indianexpress,int_media
japantoday,int_media
leparisien,int_media
ltn.tw,int_media
nikkei,int_media
peoplesdaily,int_media
nta,int_media
tvc,int_media
aljazeera,int_media
cbc,int_media
france24,int_media
germantagesschau,int_media
sky,int_media
dailyedge,int_media
dailyhunt,int_media
atlantic,news_mag
newyorker,news_mag
newsweek,news_mag
forbes,news_mag
nation,news_mag
time,news_mag
nationalreview,news_mag
us_news,news_mag
globalmagazine,news_mag
rollingstone,news_mag
fortune,news_mag
people,news_mag
wired,news_mag
vogue,news_mag
barrons,news_mag
discover,news_mag
christianmagazine,news_mag
gothamist,news_mag
esquire,news_mag
babalyonbee,right_sphere
billoreilly,right_sphere
blaze,right_sphere
bongireport,right_sphere
cbn,right_sphere
citizenfreepress,right_sphere
dailycaller,right_sphere
dailyedge,right_sphere
dailywire,right_sphere
daverubenpodcast,right_sphere
drudge,right_sphere
epochtimes,right_sphere
examiner,right_sphere
federalist,right_sphere
jewishworldreview,right_sphere
nationalreview,right_sphere
redstate,right_sphere
rsbn,right_sphere
rush,right_sphere
talkradio,right_sphere
washingtontimes,right_sphere
wendybell,right_sphere
danbongi,right_sphere
infowars,right_sphere
judicialwatch,right_sphere
libertydaily,right_sphere
newsbuz,right_sphere
redpilltv,right_sphere
timesofamerica,right_sphere
truthisscary,right_sphere
wnd,right_sphere
yournation,right_sphere
realclearpolitics,right_sphere
zerohedge,right_sphere
yournation,right_sphere
bulwark,left_sphere
afa,left_sphere
crookedmedia,left_sphere
dailybeast,left_sphere
dailykos,left_sphere
motherjones,left_sphere
occupieddemocrats,left_sphere
peoplesdaily,left_sphere
rawstory,left_sphere
root,left_sphere
slate,left_sphere
townhall,left_sphere
propublica,left_sphere
vox,left_sphere
axios,left_sphere
vice,left_sphere
skim,left_sphere
bet,left_sphere
bloomberg,neutral_sphere
cdc,neutral_sphere
cnet,neutral_sphere
congress.gov,neutral_sphere
cspan,neutral_sphere
dailybulletin,neutral_sphere
dailyhunt,neutral_sphere
dailypnut,neutral_sphere
fark,neutral_sphere
firstamerican,neutral_sphere
hill,neutral_sphere
newlexpatch,neutral_sphere
newsday,neutral_sphere
newser,neutral_sphere
newsnet,neutral_sphere
newsy,neutral_sphere
nta,neutral_sphere
ny1,neutral_sphere
podcasts,neutral_sphere
smart,neutral_sphere
tcpalm,neutral_sphere
tvc,neutral_sphere
us_news,neutral_sphere
webmd,neutral_sphere
whitehouse.gov,neutral_sphere
