feature,frequency,rank,degree
fox,650,1,35
cnn,642,2,31
nyt,318,3,31
abc,306,4,24
local_tv,292,5,23
nbc,246,6,27
cbs,206,7,20
msnbc,186,8,23
local_paper,179,9,25
aggregator,170,10,23
social_media,159,11,18
yahoo,130,12,23
bbc,110,13,20
wapo,106,14,25
int_media,56,15,19
wsj,49,16,14
right_sphere,46,17,14
npr,43,18,16
usa_today,42,19,16
news_mag,41,20,15
huffpo,40,21,15
buzzfeed,39,22,14
neutral_sphere,38,23,18
msn,34,24,9
pbs,32,25,13
cnbc,31,26,11
latimes,21,27,8
oan,21,27,4
news_wire,20,29,7
left_sphere,19,30,9
local_web,19,30,7
nypost,19,30,8
newsmax,16,33,4
politico,16,33,6
breitbart,14,35,3
local_radio,14,35,2
chicagotribune,12,37,5
univision,11,38,5
