org,cluster,code
yahoo,3,0
msn,3,0
cnn,1,-1
bbc,1,0
msnbc,1,-2
fox,1,2
abc,1,0
social_media,3,0
nbc,1,-1
local_paper,3,0
local_tv,3,0
huffpo,2,-1
cbs,1,0
nyt,2,-1
wapo,2,-1
politico,2,-1
npr,2,0
neutral_sphere,3,0
buzzfeed,2,-1
int_media,2,-0.35
wsj,2,0
local_web,3,-0.08
univision,1,0
news_mag,2,-0.53
aggregator,3,0
newsmax,1,2
chicagotribune,3,0
nypost,1,1
cnbc,1,0
oan,1,2
latimes,1,-1
right_sphere,1,2.2
usa_today,3,-1
pbs,2,-1
left_sphere,2,-1.77
local_radio,3,0
breitbart,1,2
